datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-08-18,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-08-19,5,3,0,5,3,1,2,0,2,2,224,2,0
2020-08-20,2,0,0,3,1,0,2,0,2,2,162,1,0
2020-08-24,5,0,3,15,0,1,5,0,2,2,5,1,4
2020-08-25,4,0,0,11,1,1,4,0,5,5,526,12,0
2020-08-26,7,3,0,10,1,1,2,0,3,3,163,7,0
2020-08-27,6,1,0,6,1,0,3,0,1,1,8,5,0
2020-08-28,5,1,0,6,0,1,2,0,3,3,7,6,0
2020-08-29,4,0,0,12,0,2,4,0,6,6,73,141,0
2020-08-30,3,0,0,3,0,0,2,0,2,2,3,3,0
2020-08-31,7,2,0,10,1,1,2,0,3,5,177,7,0
2020-09-01,3,0,0,4,1,0,0,0,1,1,7,5,0
2020-09-02,4,2,0,1,0,1,2,0,2,2,8,4,0
2020-09-03,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-09-04,4,1,0,2,0,0,2,0,2,2,7,7,0
2020-09-05,3,1,1,3,0,0,2,0,3,3,8,7,0
2020-09-06,2,0,0,2,0,0,2,0,2,2,5,4,0
2020-09-07,3,1,0,1,1,1,1,0,1,1,3,2,0
2020-09-08,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-09-09,2,0,0,2,0,0,1,0,1,1,2,2,0
2020-09-10,2,0,0,1,0,0,0,0,2,2,4,4,0
2020-09-11,2,0,0,1,0,0,1,0,1,1,3,3,0
2020-09-12,6,0,1,5,1,0,2,0,1,1,6,5,0
2020-09-13,3,0,0,2,0,0,1,0,2,2,7,7,0
2020-09-14,7,2,0,9,3,3,5,0,5,5,386,59,6
2020-09-15,2,0,0,1,0,0,1,0,1,1,3,3,0
2020-09-16,3,0,0,16,0,1,7,2,5,6,278,9,0
2020-09-17,4,0,0,20,0,0,3,0,3,3,31,16,0
2020-09-18,4,2,0,1,0,0,1,0,1,1,3,3,0
2020-09-19,4,1,0,2,0,0,2,0,2,2,4,4,0
2020-09-20,2,0,0,1,0,0,1,0,1,1,3,3,0
2020-09-21,5,2,0,7,2,1,2,0,2,2,7,6,0
2020-09-22,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-09-23,4,1,1,2,0,0,0,0,1,1,2,2,0
2020-09-24,2,0,0,1,0,0,1,0,1,1,10,7,0
2020-09-25,3,0,0,6,1,0,3,0,3,3,89,6,0
2020-09-26,3,0,0,3,0,0,2,0,2,2,6,4,2
2020-09-27,3,0,1,1,0,0,1,0,1,1,2,2,0
2020-09-28,3,0,0,1,1,2,1,0,1,1,3,3,0
2020-09-29,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-09-30,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-01,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-02,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-03,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-04,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-05,1,0,0,0,1,1,1,0,0,0,0,0,0
2020-10-06,3,0,0,2,0,0,1,0,2,2,4,4,0
2020-10-07,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-08,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-09,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-10,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-11,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-12,2,0,0,1,1,1,1,0,1,1,2,2,0
2020-10-13,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-14,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-15,3,1,0,1,0,0,1,0,0,0,0,0,0
2020-10-16,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-17,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-18,3,1,0,1,0,0,1,0,1,1,2,2,0
2020-10-19,3,0,0,4,1,1,3,0,3,4,12,8,0
2020-10-20,2,0,0,1,0,0,1,0,1,1,8,6,0
2020-10-21,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-22,2,0,0,1,0,0,2,0,1,1,2,2,0
2020-10-23,4,1,0,3,0,0,2,2,1,1,3,3,0
2020-10-24,4,2,0,2,0,0,2,0,2,3,7,7,0
2020-10-25,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-10-26,2,0,0,1,1,1,2,0,1,1,3,3,0
2020-10-27,4,1,0,15,2,0,2,0,3,4,64,9,0
2020-10-28,2,0,0,2,0,0,1,0,2,3,26,26,0
2020-10-29,6,4,1,7,1,3,3,0,2,3,28,27,0
2020-10-30,2,0,0,1,0,0,1,0,1,1,3,3,0
2020-10-31,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-01,2,0,0,2,0,0,1,0,2,2,4,4,0
2020-11-02,3,1,1,1,1,1,0,0,0,0,0,0,0
2020-11-03,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-11-04,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-11-05,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-11-06,2,0,0,0,1,0,1,0,0,0,0,0,0
2020-11-07,3,0,0,2,0,0,1,0,1,1,3,3,0
2020-11-08,3,0,0,3,0,0,1,0,2,2,6,6,0
2020-11-09,2,0,0,1,1,1,1,0,1,1,2,2,0
2020-11-10,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-11-11,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-11-12,3,0,0,2,1,0,2,0,2,3,27,26,0
2020-11-13,3,0,0,2,0,1,1,0,1,1,2,2,0
2020-11-14,3,0,1,1,0,0,2,0,1,1,1,1,0
2020-11-15,2,0,0,1,0,0,1,0,1,1,4,4,0
2020-11-16,1,0,0,0,1,1,1,0,0,0,0,0,0
2020-11-17,2,0,0,2,0,0,1,0,1,1,2,2,0
2020-11-18,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-19,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-11-20,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-11-21,6,3,0,4,0,0,2,2,3,3,6,6,0
2020-11-22,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-23,2,0,0,2,1,1,1,0,2,2,4,4,0
2020-11-24,2,0,0,2,0,0,2,0,2,3,26,26,0
2020-11-25,2,0,0,1,0,0,1,0,1,1,2,2,0
2020-11-26,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-27,3,0,0,14,6,1,3,0,4,5,131,39,0
2020-11-28,3,0,0,8,0,1,3,0,3,4,72,72,0
2020-11-29,2,0,0,0,1,0,2,0,0,0,0,0,0
2020-11-30,2,0,0,2,1,1,2,0,2,3,65,65,0
2020-12-01,2,0,0,3,0,0,2,0,3,4,66,66,0
2020-12-02,2,0,0,1,0,0,2,1,0,0,0,0,0
2020-12-03,4,0,0,4,0,0,1,1,2,2,6,6,0
2020-12-04,4,0,1,11,0,0,3,0,3,5,145,126,3
2020-12-05,2,1,0,0,0,0,1,0,0,0,0,0,0
2020-12-06,2,0,0,1,0,0,1,0,1,1,3,3,0
2020-12-07,3,0,0,4,1,2,2,2,1,1,3,3,0
2020-12-08,2,0,0,1,0,0,1,0,1,1,3,3,0
2020-12-09,2,0,0,0,0,0,2,1,0,0,0,0,0
2020-12-10,3,0,0,2,0,0,2,1,1,1,2,2,0
2020-12-11,3,0,0,3,0,0,1,0,3,3,40,6,0
2020-12-12,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-12-13,2,0,0,1,0,0,2,1,1,1,2,2,0
2020-12-14,3,0,1,4,1,1,4,0,2,5,127,2,2
2020-12-15,4,0,0,6,0,0,3,2,3,3,8,7,3
2020-12-16,4,0,0,12,0,0,1,0,1,1,4,4,6
2020-12-17,8,1,2,46,2,4,13,1,11,13,1271,84,0
2020-12-18,8,0,2,15,0,1,6,0,3,9,269,8,0
2020-12-19,5,0,1,18,2,0,4,0,5,19,1270,144,5
2020-12-20,5,0,1,6,0,0,3,0,2,3,72,71,0
2020-12-21,5,0,0,7,1,1,3,1,2,2,145,18,0
2020-12-22,4,0,0,4,0,0,1,1,2,2,23,10,7
2020-12-23,5,0,1,7,1,0,2,0,1,1,4,4,7
2020-12-24,9,1,0,12,1,0,2,0,1,1,5,5,7
2020-12-25,3,0,1,1,0,0,2,0,0,0,0,0,0
2020-12-26,2,0,0,1,0,0,2,0,0,0,0,0,0
2020-12-27,2,1,0,0,0,0,3,0,0,0,0,0,0
2020-12-28,1,0,0,0,1,1,1,0,0,0,0,0,0
2020-12-29,2,0,0,1,0,0,1,0,1,1,10,10,0
2020-12-30,1,0,0,0,0,0,3,0,0,0,0,0,0
2020-12-31,2,0,0,1,0,0,3,0,1,1,2,2,0
