datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-01-03,1,1,1,0,0,0,0,0,0,0,0,0,0
2020-01-16,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-01-18,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-02-27,2,3,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,2,1,1,2,0,0,0,0,0,0,0,0,0
2020-03-28,1,0,0,1,0,0,0,1,0,0,0,0,0
2020-04-02,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,1,1,1,0,0,0,0,0,0,0,0,0,0
2020-04-27,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,2,0,2,0,0,0,0,0,0,0,0,0,0
2020-04-29,2,0,0,1,0,0,1,1,1,185,49,4602,0
2020-04-30,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,1,0,0,0,0,0,0,0,1,1,0,1,0
2020-05-07,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-05-26,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,2,2,1,0,0,0,0,0,0,0,0,0,0
2020-06-15,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-25,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,2,1,0,1,1,0,0,0,0,0,0,0,0
2020-07-19,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-08,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-12,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-13,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-25,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-02,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-08,2,0,0,1,1,0,0,0,0,0,0,0,0
2020-10-09,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-22,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-01,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-11-05,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-19,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-12-24,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,1,1,0,0,0,0,0,0,0,0,0,0,0
