datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-01-01,12,5,4,7,0,3,1,0,3,10,142,19,2
2020-01-02,32,15,8,30,1,4,6,1,4,21,172,17,23
2020-01-03,32,16,5,28,2,1,3,0,2,3,25,14,2
2020-01-04,19,7,5,20,0,0,2,0,2,19,961,3,37
2020-01-05,18,6,3,14,2,1,3,0,2,17,653,37,34
2020-01-06,37,16,5,17,6,4,4,0,2,2,1,4,10
2020-01-07,37,23,4,31,7,5,0,0,3,35,194,11,15
2020-01-08,38,23,5,26,7,7,1,0,0,0,0,0,9
2020-01-09,39,20,7,20,4,5,3,1,1,15,1907,68,6
2020-01-10,40,21,11,17,1,0,4,1,3,6,15,2,12
2020-01-11,13,5,3,13,0,0,1,1,1,1,1,6,6
2020-01-12,14,4,1,16,2,3,4,1,4,71,2524,672,25
2020-01-13,33,15,8,22,3,5,4,1,3,6,4,25,12
2020-01-14,16,6,2,21,5,4,1,1,0,0,0,0,20
2020-01-15,26,13,5,29,2,2,3,1,1,2,3,1,19
2020-01-16,31,13,5,67,5,4,7,6,2,3,4,4,14
2020-01-17,29,16,3,23,11,7,1,0,1,10,253,4227,30
2020-01-18,12,6,0,7,0,0,0,1,1,43,1529,277,15
2020-01-19,26,13,3,33,5,3,3,3,1,1,1,2,31
2020-01-20,18,9,0,17,2,2,2,0,3,14,431,1522,2
2020-01-21,15,12,0,2,1,1,0,0,0,0,0,0,0
2020-01-22,5,3,3,0,0,0,0,0,0,0,0,0,0
2020-01-23,7,2,3,2,1,0,1,0,0,0,0,0,4
2020-01-24,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-01-25,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,6,3,1,2,1,1,0,0,0,0,0,0,0
2020-01-27,8,1,2,5,1,1,0,0,0,0,0,0,12
2020-01-28,9,3,2,4,2,0,0,0,0,0,0,0,9
2020-01-29,14,4,0,32,8,6,3,0,3,13,66,26,6
2020-01-30,9,3,0,21,6,8,1,0,3,64,2899,774,7
2020-01-31,13,4,1,13,1,2,2,0,2,6,98,1,4
2020-02-01,10,4,0,26,0,0,1,0,2,13,527,115,1
2020-02-02,10,4,0,16,0,0,4,0,2,2,107,311,11
2020-02-03,18,7,4,8,0,2,1,0,1,6,19,24,14
2020-02-04,17,6,4,20,5,4,3,0,4,42,978,6,18
2020-02-05,21,8,2,21,2,1,3,0,2,4,104,58,17
2020-02-06,11,6,2,9,0,1,0,0,2,17,592,77,2
2020-02-07,14,7,1,7,1,1,1,0,0,0,0,0,14
2020-02-08,12,5,2,7,1,0,3,0,2,2,165,339,8
2020-02-09,11,3,0,17,3,0,5,1,1,6,109,50,28
2020-02-10,19,5,1,38,4,7,4,1,4,21,195,75,6
2020-02-11,23,6,3,58,1,1,4,2,4,28,20863,20015,31
2020-02-12,20,9,1,25,2,5,3,0,3,52,1117,159,38
2020-02-13,17,9,3,8,2,1,2,0,3,13,729,231,4
2020-02-14,14,6,2,6,0,1,3,0,2,7,470,146,29
2020-02-15,13,4,1,12,1,0,2,1,2,3,190,26,14
2020-02-16,15,4,3,27,4,4,2,0,2,7,1160,126,10
2020-02-17,21,9,1,20,4,2,3,1,2,5,126,21,10
2020-02-18,25,15,3,40,1,2,0,0,0,0,0,0,2
2020-02-19,22,7,4,25,3,1,4,0,4,97,5513,160,15
2020-02-20,18,7,5,16,1,2,0,0,0,0,0,0,3
2020-02-21,17,8,1,21,4,2,3,3,1,5,907,22,5
2020-02-22,18,12,0,16,1,0,2,0,1,3,6,1,2
2020-02-23,13,4,1,24,1,3,4,1,4,17,1694,48,8
2020-02-24,21,6,1,37,8,7,2,0,1,3,116,43,8
2020-02-25,25,16,4,10,2,3,2,0,1,2,607,1,1
2020-02-26,22,10,6,11,0,0,4,1,2,4,132,29,23
2020-02-27,25,14,1,20,2,2,1,0,1,1,10,20,22
2020-02-28,18,11,0,13,2,2,0,0,1,3,7,9,5
2020-02-29,16,5,4,6,1,1,1,0,1,5,44,75,15
2020-03-01,17,11,3,4,1,1,0,0,0,0,0,0,7
2020-03-02,20,8,4,22,3,1,0,0,0,0,0,0,2
2020-03-03,24,16,0,23,4,4,1,0,0,0,0,0,1
2020-03-04,27,15,3,26,1,4,4,0,4,36,2511,64,5
2020-03-05,37,22,6,23,3,3,0,0,0,0,0,0,14
2020-03-06,58,45,8,19,6,6,3,0,3,62,2016,15,4
2020-03-07,20,11,4,7,0,3,3,1,3,18,95,38,31
2020-03-08,14,5,2,34,4,2,3,0,4,9,357,7534,32
2020-03-09,66,53,10,19,3,2,6,0,5,12,79,31,10
2020-03-10,25,9,7,26,7,5,3,0,2,3,7,4,34
2020-03-11,35,14,6,34,5,4,10,1,7,44,4261,74,11
2020-03-12,31,19,3,31,3,5,2,0,3,8,11,7,1
2020-03-13,31,22,3,17,2,4,1,1,4,61,760,36,12
2020-03-14,18,8,2,37,3,1,2,0,0,0,0,0,11
2020-03-15,18,8,2,21,1,6,4,0,4,39,1992,1966,27
2020-03-16,33,11,8,24,7,8,3,0,3,3,8320,14732,2
2020-03-17,49,23,14,11,1,1,4,0,4,8,62,496,16
2020-03-18,25,16,6,4,1,1,3,0,3,5,101,6,0
2020-03-19,26,15,5,17,3,2,5,0,4,20,451,658,2
2020-03-20,24,10,5,12,2,2,2,0,3,64,2091,83,16
2020-03-21,14,3,5,7,1,1,1,0,0,0,0,0,6
2020-03-22,12,5,4,9,0,1,1,0,2,12,315,81,14
2020-03-23,19,10,2,11,4,4,5,1,4,19,800,68,18
2020-03-24,34,18,7,9,4,4,2,0,3,4,367,684,28
2020-03-25,26,15,4,9,1,0,2,1,2,3,5,93,4
2020-03-26,30,18,4,15,4,2,5,0,4,26,690,62,8
2020-03-27,28,18,5,11,1,2,2,0,4,37,2069,173,0
2020-03-28,14,5,2,14,3,3,2,0,3,73,1497,2125,0
2020-03-29,16,11,3,2,0,1,1,0,0,0,0,0,0
2020-03-30,28,14,7,16,4,1,4,1,3,21,1027,682,18
2020-03-31,23,14,2,9,1,0,3,1,2,7,299,270,0
2020-04-01,23,11,7,5,2,2,1,0,1,1,1,1,0
2020-04-02,27,12,10,7,3,1,0,0,0,0,0,0,0
2020-04-03,28,21,5,4,2,4,0,0,0,0,0,0,0
2020-04-04,12,9,1,4,1,1,0,0,0,0,0,0,0
2020-04-05,14,7,6,1,1,0,1,0,1,1,2,2,0
2020-04-06,20,14,2,17,1,1,0,0,0,0,0,0,0
2020-04-07,35,23,7,18,8,2,0,0,0,0,0,0,0
2020-04-08,35,20,8,10,3,4,2,0,1,1,1,1,0
2020-04-09,24,10,3,17,3,3,0,0,0,0,0,0,3
2020-04-10,28,13,3,34,6,5,2,1,2,82,12859,25881,1
2020-04-11,17,11,1,7,0,3,3,0,3,5,222,117,7
2020-04-12,12,6,3,2,0,0,3,0,2,5,44,35,6
2020-04-13,27,12,6,9,2,3,4,0,2,2,15,15,12
2020-04-14,23,11,5,16,2,3,2,2,2,7,88,18,7
2020-04-15,28,17,3,13,4,7,2,0,4,20,1471,1720,6
2020-04-16,26,19,7,10,3,2,0,0,0,0,0,0,0
2020-04-17,28,20,2,11,4,3,0,0,0,0,0,0,1
2020-04-18,14,7,2,4,1,1,2,0,0,0,0,0,0
2020-04-19,18,7,1,19,2,1,5,1,2,31,792,409,11
2020-04-20,39,30,6,18,5,5,2,0,0,0,0,0,0
2020-04-21,27,14,6,21,2,5,2,0,4,39,3015,2766,10
2020-04-22,34,19,6,18,3,2,3,2,5,19,277,477,20
2020-04-23,36,17,8,26,3,3,3,0,2,3,4,4,2
2020-04-24,33,14,5,58,9,7,4,3,2,38,2182,52,7
2020-04-25,12,4,0,11,0,5,3,0,6,25,422,250,11
2020-04-26,24,12,5,14,2,3,4,0,2,3,6,85,1
2020-04-27,30,17,7,15,5,6,0,0,1,5,680,82,4
2020-04-28,34,20,10,7,2,2,2,1,1,1,44,106,1
2020-04-29,34,22,5,19,5,6,3,0,3,21,1030,840,8
2020-04-30,27,16,8,10,0,0,0,0,1,1,66,104,5
2020-05-01,6,1,2,4,0,1,0,0,1,39,188,67,0
2020-05-02,13,6,4,3,0,1,1,0,0,0,0,0,0
2020-05-03,12,6,3,4,0,0,3,0,1,3,30,10,4
2020-05-04,11,7,2,4,0,0,0,0,2,5,16,48,5
2020-05-05,13,5,1,17,3,1,2,2,1,1,7,6,2
2020-05-06,33,20,4,13,4,1,3,0,1,1,5,0,13
2020-05-07,35,21,8,11,1,3,3,0,4,36,2327,73,3
2020-05-08,32,13,12,19,2,1,4,0,7,59,1140,551,11
2020-05-09,26,14,5,9,3,3,3,0,3,7,296,95,5
2020-05-10,10,4,3,7,0,1,2,0,1,10,468,67,4
2020-05-11,24,11,2,24,4,6,1,0,1,1,762,1,3
2020-05-12,23,15,2,9,2,2,2,0,2,6,89,88,5
2020-05-13,39,25,6,18,3,3,1,0,1,6,115,6,4
2020-05-14,35,22,4,17,2,2,3,0,3,5,43,30,0
2020-05-15,19,9,6,16,2,1,1,1,0,0,0,0,0
2020-05-16,12,3,3,14,3,3,2,0,1,2,1,1,15
2020-05-17,10,1,3,19,1,2,1,0,2,10,80,16,14
2020-05-18,20,14,4,1,1,1,0,0,0,0,0,0,0
2020-05-19,30,19,6,10,2,1,0,0,0,0,0,0,0
2020-05-20,30,17,7,18,1,1,3,0,1,4,700,95,7
2020-05-21,24,12,3,20,6,5,0,0,0,0,0,0,0
2020-05-22,24,15,5,5,1,0,2,1,2,2,8,2,0
2020-05-23,10,3,4,2,0,1,1,0,2,3,15,21,0
2020-05-24,14,9,1,8,0,0,1,0,0,0,0,0,4
2020-05-25,22,10,6,11,3,2,3,0,2,5,18,4,6
2020-05-26,21,8,6,14,4,4,2,0,2,17,592,60,9
2020-05-27,30,13,5,23,6,6,1,0,1,1,1,1,0
2020-05-28,21,11,3,10,3,3,0,0,0,0,0,0,0
2020-05-29,27,18,8,10,1,1,3,1,1,1,4,4,2
2020-05-30,16,6,4,8,0,0,1,0,0,0,0,0,0
2020-05-31,16,9,0,17,0,1,2,0,2,10,178,25,19
2020-06-01,33,18,5,31,1,2,1,0,2,87,3901,338,35
2020-06-02,28,19,3,7,2,1,2,1,1,7,45,60,2
2020-06-03,29,19,3,16,2,2,1,0,1,2,47,53,4
2020-06-04,33,22,8,9,2,2,3,1,0,0,0,0,12
2020-06-05,31,14,4,18,4,2,2,0,1,5,52,55,12
2020-06-06,10,4,0,9,1,1,1,0,1,32,0,1938,9
2020-06-07,14,7,1,9,1,2,0,0,1,2,92,0,1
2020-06-08,35,16,9,16,5,3,6,0,4,27,2881,904,3
2020-06-09,29,12,4,34,7,6,5,0,6,20,931,94,3
2020-06-10,19,11,1,16,3,1,2,0,0,0,0,0,16
2020-06-11,34,18,6,40,7,10,8,3,7,65,4850,709,12
2020-06-12,31,18,5,22,4,4,3,0,4,21,306,251,0
2020-06-13,8,5,1,4,0,0,0,0,0,0,0,0,5
2020-06-14,20,14,5,12,1,3,1,1,1,3,119,85,5
2020-06-15,48,26,8,31,5,4,2,1,1,1,2332,4,7
2020-06-16,30,14,4,26,5,4,3,0,3,4,9,8,4
2020-06-17,27,14,5,8,2,3,3,1,1,4,1,0,3
2020-06-18,23,10,7,25,2,0,1,0,1,1,1,1,0
2020-06-19,32,20,8,12,1,1,3,0,3,3,24,12,6
2020-06-20,19,4,3,21,3,3,3,0,2,7,712,0,21
2020-06-21,12,5,0,19,0,0,1,0,3,76,1613,718,9
2020-06-22,23,10,11,11,2,1,2,1,2,47,6329,16,5
2020-06-23,33,27,0,13,2,5,0,0,0,0,0,0,14
2020-06-24,26,18,3,7,4,3,1,0,0,0,0,0,4
2020-06-25,12,7,2,6,3,2,2,0,0,0,0,0,0
2020-06-26,5,2,0,2,0,1,0,0,1,2,10,5,0
2020-06-27,8,4,2,5,0,1,0,0,1,10,1931,0,16
2020-06-28,19,11,5,11,4,3,0,0,0,0,0,0,1
2020-06-29,26,10,4,47,9,9,3,0,2,5,645,5,0
2020-06-30,26,11,5,31,7,3,2,0,2,2,152,3,6
2020-07-01,42,21,7,52,8,7,4,0,2,37,1493,1,22
2020-07-02,29,12,3,31,6,6,2,1,2,6,121,6,17
2020-07-03,24,11,4,25,8,7,2,0,3,4,8,5,5
2020-07-04,20,8,6,15,0,0,3,0,0,0,0,0,19
2020-07-05,15,5,1,13,2,1,2,0,3,22,4648,285,5
2020-07-06,31,10,11,35,4,2,3,0,3,8,26,44,17
2020-07-07,29,10,6,18,5,6,4,1,3,31,200,10,3
2020-07-08,29,11,7,64,9,8,5,0,5,11,48,51,18
2020-07-09,33,14,6,26,5,6,1,0,3,79,970,109,14
2020-07-10,37,16,3,29,9,11,1,0,1,11,201,8,3
2020-07-11,23,12,6,12,1,4,4,1,1,1,1,1,6
2020-07-12,11,2,2,19,1,2,2,1,1,1,2,2,11
2020-07-13,24,11,7,4,2,1,0,0,0,0,0,0,14
2020-07-14,36,12,5,33,4,4,5,1,2,3,5,5,16
2020-07-15,29,15,3,8,2,3,2,1,2,9,3,3,25
2020-07-16,30,12,5,19,6,6,3,1,2,4,4,4,12
2020-07-17,28,14,6,34,7,8,1,0,2,12,237,14,5
2020-07-18,13,4,1,7,3,3,1,0,0,0,0,0,1
2020-07-19,15,4,4,27,1,1,4,1,3,24,375,82,21
2020-07-20,37,24,4,30,3,2,7,7,2,48,587,1,18
2020-07-21,33,18,5,38,4,5,1,1,4,15,2873,530,6
2020-07-22,27,9,4,25,9,8,4,1,1,16,195,3,3
2020-07-23,38,22,5,23,4,4,3,1,3,8,254,111,6
2020-07-24,28,17,5,8,4,4,2,0,2,3,4,1,3
2020-07-25,18,10,0,5,1,2,1,0,4,48,3728,90,9
2020-07-26,10,3,0,17,1,1,5,0,2,2,2,1,3
2020-07-27,25,11,5,17,5,3,4,1,6,13,112,32,7
2020-07-28,24,13,4,16,3,1,0,0,0,0,0,0,6
2020-07-29,35,12,9,23,7,4,5,2,2,7,455,5,7
2020-07-30,15,7,4,21,1,2,3,1,3,113,4770,588,0
2020-07-31,23,12,3,14,3,2,6,0,3,5,252,272,11
2020-08-01,19,9,2,13,0,2,3,2,1,1,7,7,3
2020-08-02,10,5,2,9,0,0,3,2,1,1,6,6,0
2020-08-03,18,11,2,8,3,5,0,0,2,8,14,8,1
2020-08-04,26,14,6,12,3,2,4,0,3,26,150,67,15
2020-08-05,38,17,10,26,8,6,6,1,5,25,885,54,17
2020-08-06,35,13,11,31,7,23,7,0,5,28,204,16,9
2020-08-07,37,17,9,17,5,5,2,0,6,25,225,8,5
2020-08-08,22,11,1,17,5,2,4,0,2,11,201,91,3
2020-08-09,15,2,1,26,1,2,5,2,3,4,8,8,9
2020-08-10,36,14,3,47,6,9,3,0,6,97,3130,186,43
2020-08-11,35,17,8,26,4,2,2,1,1,10,473,138,18
2020-08-12,28,12,3,42,5,6,4,0,2,6,20,1,24
2020-08-13,29,16,3,12,3,3,1,0,4,15,433,47,16
2020-08-14,28,15,2,13,5,7,3,0,3,47,293,7,12
2020-08-15,14,3,1,18,4,7,5,2,4,41,482,42,3
2020-08-16,12,6,2,1,0,0,1,2,0,0,0,0,8
2020-08-17,39,17,4,43,11,7,4,1,3,21,300,71,9
2020-08-18,34,17,6,37,5,3,4,1,3,8,263,39,36
2020-08-19,32,12,6,25,2,1,2,0,2,7,29,23,43
2020-08-20,24,6,3,38,3,2,2,2,1,15,90,1,70
2020-08-21,23,8,4,10,2,1,2,0,0,0,0,0,2
2020-08-24,23,9,0,17,4,4,2,0,3,38,821,117,2
2020-08-25,25,8,5,11,3,3,3,0,0,0,0,0,2
2020-08-26,35,11,6,47,10,12,4,0,6,28,1437,158,21
2020-08-27,36,16,5,42,4,4,5,1,2,4,16,13,13
2020-08-28,31,15,4,21,2,3,2,0,6,45,712,103,25
2020-08-29,11,1,1,36,1,2,3,0,2,46,805,174,26
2020-08-30,14,4,3,17,0,4,2,0,3,15,893,19,11
2020-08-31,25,9,4,19,1,3,1,1,3,66,5201,165,11
2020-09-01,28,14,4,29,6,6,4,1,2,12,56,60,18
2020-09-02,28,14,4,16,3,2,1,0,0,0,0,0,31
2020-09-03,27,10,4,34,5,6,2,1,2,9,669,11,23
2020-09-04,34,15,6,30,4,5,1,1,2,11,688,136,13
2020-09-05,14,4,2,18,2,6,2,1,3,57,1020,145,9
2020-09-06,8,3,1,14,2,2,0,0,0,0,0,0,0
2020-09-07,26,14,5,18,5,5,0,0,0,0,0,0,0
2020-09-08,30,17,7,23,2,2,3,0,1,1,2,2,5
2020-09-09,32,24,4,6,0,1,1,0,2,45,3287,566,3
2020-09-10,25,15,2,35,6,5,0,0,0,0,0,0,4
2020-09-11,29,9,8,39,7,4,2,0,0,0,0,0,0
2020-09-12,15,8,1,30,2,2,1,1,2,11,342,7,17
2020-09-13,9,4,0,3,0,1,1,0,2,5,45,2,2
2020-09-14,25,15,4,25,4,22,0,1,0,0,0,0,0
2020-09-15,25,10,2,53,7,7,4,1,1,2,223,26,3
2020-09-16,35,22,3,19,7,6,2,0,3,8,37,91,0
2020-09-17,30,11,5,48,6,4,4,1,1,1,1,1,12
2020-09-18,30,12,5,18,5,7,2,0,3,12,203,13,28
2020-09-19,15,5,3,12,2,1,1,0,1,2,1,1,10
2020-09-20,5,0,0,18,0,1,2,0,1,3,1773,1,23
2020-09-21,28,15,6,29,5,6,2,0,1,1,16,6,6
2020-09-22,33,10,9,37,7,7,2,0,4,43,1508,10,15
2020-09-23,32,12,4,32,5,4,5,0,3,7,67,920,14
2020-09-24,30,10,6,40,5,6,1,1,0,0,0,0,1
2020-09-25,34,16,8,24,2,2,4,0,3,9,31,5,8
2020-09-26,12,1,4,4,0,1,3,0,5,28,1279,2220,4
2020-09-27,27,10,13,11,4,4,1,1,1,40,452,5,17
2020-09-28,34,16,9,19,6,6,4,0,1,1,4,4,2
2020-09-29,31,11,8,22,8,7,3,1,3,12,312,818,4
2020-09-30,28,9,5,26,3,1,17,0,2,3,3,1,8
2020-10-01,15,4,0,18,1,2,9,1,11,34,298,132,18
2020-10-02,11,1,1,24,0,0,4,1,7,22,117,110,40
2020-10-03,11,5,0,3,0,1,1,0,1,17,854,96,42
2020-10-04,8,2,1,14,1,4,2,1,2,9,224,64,20
2020-10-05,2,1,0,0,0,1,0,0,1,6,539,10,1
2020-10-06,5,2,0,1,0,0,1,0,1,4,9,8,1
