datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-01-01,82,34,15,41,3,1,1,0,0,0,0,0,1
2020-01-02,163,50,15,185,20,23,6,5,9,18,857,209,16
2020-01-03,185,62,14,199,13,33,11,9,15,25,894,49,39
2020-01-04,109,30,27,55,7,1,3,1,4,6,140,255,11
2020-01-05,109,39,29,48,9,0,0,0,0,0,0,0,22
2020-01-06,187,49,24,170,17,17,12,2,9,20,190,180,73
2020-01-07,197,45,27,192,21,21,7,2,7,38,321,140,33
2020-01-08,230,65,27,243,23,26,8,4,6,24,298,278,21
2020-01-09,231,71,39,189,32,22,9,12,8,9,165,154,22
2020-01-10,231,59,35,249,25,37,9,6,2,6,940,292,25
2020-01-11,137,38,18,91,16,12,7,0,0,0,0,0,9
2020-01-12,112,32,21,57,17,2,7,4,0,0,0,0,5
2020-01-13,211,54,24,245,26,30,5,3,5,20,57,58,32
2020-01-14,200,46,25,207,34,23,13,4,8,16,1092,468,20
2020-01-15,223,54,24,243,21,23,17,11,7,58,11239,144,33
2020-01-16,200,47,27,173,27,16,10,3,18,33,1774,143,40
2020-01-17,205,47,29,193,27,16,23,6,10,86,335,109,19
2020-01-18,105,31,16,80,8,5,10,2,6,39,1009,48,11
2020-01-19,115,45,19,66,8,4,9,1,4,16,220,84,1
2020-01-20,150,31,25,121,21,7,14,3,5,21,751,6540,6
2020-01-21,221,48,24,224,18,14,16,3,11,26,775,416,57
2020-01-22,212,41,20,247,22,32,9,5,17,45,265,51,15
2020-01-23,190,31,28,220,18,23,5,5,6,13,98,65,20
2020-01-24,164,34,12,191,17,29,7,3,4,9,313,142,20
2020-01-25,93,30,18,74,13,1,6,3,1,1,1,2,3
2020-01-26,109,35,20,59,13,8,4,0,2,3,4,4,1
2020-01-27,204,46,26,203,26,21,12,3,10,12,861,481,35
2020-01-28,199,57,23,174,19,31,7,4,6,15,1174,889,29
2020-01-29,179,40,21,206,24,36,8,4,1,1,1,1,11
2020-01-30,206,51,25,207,17,22,11,0,6,9,376,234,11
2020-01-31,183,28,27,190,25,10,12,5,3,13,36,21,25
2020-02-01,113,40,11,79,15,19,10,2,1,1,24,6,1
2020-02-02,104,35,24,59,12,12,0,0,0,0,0,0,12
2020-02-03,174,31,20,218,15,21,7,1,8,18,129,81,55
2020-02-04,195,40,23,180,20,14,6,1,12,34,1438,109,25
2020-02-05,202,46,27,215,11,14,9,5,5,19,283,119,53
2020-02-06,189,42,26,189,20,25,4,6,2,12,88,36,33
2020-02-07,185,36,27,186,34,19,8,4,2,2,24,9,35
2020-02-08,92,27,19,56,8,7,7,0,0,0,0,0,8
2020-02-09,100,36,20,42,13,0,8,0,0,0,0,0,5
2020-02-10,208,38,35,241,25,27,12,7,12,46,264,61,44
2020-02-11,231,61,21,240,24,26,12,1,10,44,1569,334,31
2020-02-12,239,51,38,236,33,20,8,4,10,24,777,534,38
2020-02-13,214,48,31,249,18,21,5,3,10,24,548,561,29
2020-02-14,163,35,26,148,14,14,16,7,6,18,553,401,62
2020-02-15,103,36,16,48,14,6,4,2,5,11,195,81,6
2020-02-16,92,37,21,40,13,2,2,0,0,0,0,0,2
2020-02-17,213,59,38,166,31,17,10,0,1,2,6,6,20
2020-02-18,201,44,25,190,19,18,8,3,3,5,539,150,44
2020-02-19,231,61,22,251,30,25,8,1,13,67,1889,657,55
2020-02-20,236,69,17,221,26,21,3,2,15,50,888,324,49
2020-02-21,204,49,25,185,21,17,12,3,3,14,195,114,36
2020-02-22,110,34,19,70,7,6,2,0,1,1,48,24,15
2020-02-23,112,52,16,46,10,2,8,0,0,0,0,0,2
2020-02-24,198,36,29,239,18,23,10,2,10,29,834,161,42
