datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-01-01,19,8,1,13,0,1,2,0,4,13,175,102,8
2020-01-02,65,26,4,73,3,0,15,5,9,74,1208,360,59
2020-01-03,55,20,11,79,11,2,8,3,8,32,987,88,39
2020-01-04,13,9,0,19,0,0,1,0,0,0,0,0,8
2020-01-05,20,8,0,33,2,0,2,2,0,0,0,0,11
2020-01-06,48,15,4,98,3,2,10,4,12,74,2238,1655,93
2020-01-07,61,18,2,135,4,3,17,3,19,209,64942,2225,52
2020-01-08,50,12,2,65,8,6,11,2,9,63,1934,673,26
2020-01-09,52,11,4,124,11,4,20,2,18,154,1807,529,65
2020-01-10,63,24,8,75,3,4,9,2,9,75,1509,162,34
2020-01-11,19,3,1,28,6,1,4,0,3,25,186,15,6
2020-01-12,28,14,1,36,3,1,2,0,0,0,0,0,32
2020-01-13,28,19,3,13,2,0,1,0,0,0,0,0,1
2020-01-14,41,7,2,77,4,2,8,3,6,25,393,101,68
2020-01-15,49,19,1,83,5,5,5,2,11,46,519,65,12
2020-01-16,50,12,0,90,7,3,15,0,8,43,1377,119,22
2020-01-17,40,7,3,52,3,3,9,0,6,33,21795,1800,18
2020-01-18,17,5,2,15,0,1,4,0,1,7,137,71,3
2020-01-19,43,11,3,123,8,3,10,2,11,51,579,314,36
2020-01-20,47,15,0,82,3,3,14,6,12,58,1028,112,50
2020-01-21,18,8,1,20,0,0,2,2,4,13,27,21,4
2020-01-22,21,9,0,24,2,0,4,2,2,18,205,7,14
2020-01-23,19,7,2,13,0,0,4,0,2,8,75,9,2
2020-01-24,9,2,0,15,1,0,1,0,0,0,0,0,10
2020-01-25,5,2,0,9,0,1,0,1,1,3,51,8,2
2020-01-26,6,3,0,4,2,0,0,0,0,0,0,0,0
2020-01-27,9,1,0,30,0,0,2,9,1,1,4,4,11
2020-01-28,19,9,1,21,1,1,0,8,0,0,0,0,22
2020-01-29,19,10,2,11,1,0,0,1,0,0,0,0,6
2020-01-30,16,9,0,8,1,0,1,0,1,4,56,3,15
2020-01-31,21,15,2,11,0,2,0,0,2,90,1754,859,7
2020-02-01,13,7,0,6,0,0,2,0,0,0,0,0,0
2020-02-02,21,14,1,7,2,0,2,0,0,0,0,0,9
2020-02-03,42,11,1,93,9,1,13,0,6,20,233,14,70
2020-02-04,53,10,4,126,10,4,13,1,17,116,3498,1423,58
2020-02-05,44,11,1,146,1,6,14,2,24,113,895,134,40
2020-02-06,37,7,0,78,8,0,9,3,4,12,130,576,17
2020-02-07,37,13,0,104,5,4,14,4,12,194,1887,479,23
2020-02-08,14,5,2,10,11,2,3,0,0,0,0,0,0
2020-02-09,15,3,0,15,3,0,1,0,1,8,53,52,11
2020-02-10,46,15,0,75,3,3,12,2,11,100,2518,553,66
2020-02-11,39,5,3,62,3,4,17,0,10,50,693,99,112
2020-02-12,48,4,1,159,6,3,16,4,15,104,1720,420,89
2020-02-13,42,5,1,149,6,11,20,1,18,106,2266,597,47
2020-02-14,40,11,0,101,2,5,15,0,14,139,10657,4472,24
2020-02-15,19,6,2,26,1,2,3,0,4,24,60,53,2
2020-02-16,18,7,1,33,0,1,3,0,2,131,3848,910,4
