datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-01-01,80,32,9,47,14,4,1,1,0,0,0,0,0
2020-01-02,175,65,12,115,49,24,2,0,0,0,0,0,0
2020-01-03,186,59,13,158,53,33,5,2,1,53,2424,2201,4
2020-01-04,102,37,9,89,22,12,2,0,0,0,0,0,0
2020-01-05,99,39,12,67,13,9,2,0,0,0,0,0,0
2020-01-06,192,59,16,371,59,108,5,3,5,7,151,109,7
2020-01-07,207,52,14,267,69,52,7,1,3,5,13,4,9
2020-01-08,224,77,22,305,64,64,3,1,2,5,207,2,4
2020-01-09,226,66,16,286,75,54,2,0,5,24,612,423,4
2020-01-10,214,69,22,289,55,69,9,0,2,43,1386,866,6
2020-01-11,112,41,11,75,33,13,4,1,3,3,3,3,0
2020-01-12,122,53,19,58,20,9,2,0,0,0,0,0,0
2020-01-13,208,61,12,312,59,75,2,2,10,85,2006,379,12
2020-01-14,206,69,19,290,55,79,3,4,6,57,816,1593,5
2020-01-15,239,62,13,736,82,84,4,2,3,5,14,12,6
2020-01-16,267,62,20,420,76,62,9,1,2,13,190,85,3
2020-01-17,242,59,19,318,72,58,2,0,4,5,41,9,2
2020-01-18,110,33,7,96,26,21,0,1,1,2,2,2,0
2020-01-19,106,43,5,75,30,12,0,0,2,8,405,240,6
2020-01-20,181,54,23,228,52,35,3,0,1,18,105,4,2
2020-01-21,204,54,15,347,57,69,4,0,2,44,439,112,0
2020-01-22,230,71,18,328,59,83,3,0,3,7,22,12,5
2020-01-23,214,59,21,316,67,102,10,0,4,4,21,8,6
2020-01-24,230,90,19,256,50,55,10,3,8,37,1044,873,8
2020-01-25,103,47,7,56,22,10,1,0,0,0,0,0,0
2020-01-26,104,28,14,86,22,16,1,0,0,0,0,0,0
2020-01-27,179,43,12,343,81,79,5,3,6,23,1473,162,17
2020-01-28,183,48,22,394,179,92,3,1,1,1,2,2,1
2020-01-29,187,52,14,416,88,133,7,4,4,13,26,22,1
2020-01-30,198,57,13,293,78,75,4,2,3,3,11,6,0
2020-01-31,170,59,12,270,68,57,4,0,1,1,1,1,0
2020-02-01,95,22,12,86,24,15,1,0,0,0,0,0,0
2020-02-02,108,35,10,72,30,15,5,1,0,0,0,0,0
2020-02-03,175,44,16,316,59,73,22,3,14,33,598,211,2
2020-02-04,213,74,14,355,63,81,6,3,15,48,1256,789,2
2020-02-05,196,65,17,274,65,67,9,9,11,40,922,101,2
2020-02-06,200,46,19,287,67,47,8,0,7,21,273,143,0
2020-02-07,250,64,19,346,73,61,8,0,8,46,244,69,0
2020-02-08,148,37,19,115,36,13,5,0,0,0,0,0,4
2020-02-09,118,38,15,74,26,13,1,0,0,0,0,0,0
2020-02-10,213,49,23,339,60,80,10,5,12,36,642,324,4
2020-02-11,237,63,21,321,78,59,10,3,8,42,1065,520,4
2020-02-12,230,63,17,337,57,56,6,4,3,10,4,3,8
2020-02-13,224,68,19,262,73,41,7,2,5,12,131,26,2
2020-02-14,259,78,26,344,83,95,8,1,3,5,95,63,1
2020-02-15,130,42,18,74,33,12,4,1,0,0,0,0,0
2020-02-16,113,46,9,55,22,3,3,1,0,0,0,0,0
2020-02-17,174,42,7,249,49,64,8,4,7,55,1888,384,3
2020-02-18,252,70,17,364,83,103,3,2,5,13,406,127,5
2020-02-19,245,67,20,339,86,72,8,0,8,17,335,261,8
2020-02-20,213,52,18,332,80,88,5,1,10,25,1984,532,2
2020-02-21,214,62,20,320,66,72,5,0,1,3,3,3,2
2020-02-22,141,78,16,61,22,11,1,0,2,10,328,73,0
2020-02-23,123,52,21,94,28,16,8,0,3,8,142,94,3
2020-02-24,203,59,15,177,71,29,4,0,0,0,0,0,3
2020-02-25,187,49,11,333,174,89,4,1,1,1,1,1,0
2020-02-26,215,61,20,495,128,162,3,1,1,1,3,3,1
2020-02-27,210,58,10,491,86,123,2,1,3,5,22,13,4
2020-02-28,189,60,21,266,51,51,16,1,17,36,1424,740,3
2020-02-29,111,41,10,70,33,11,5,0,2,4,11,8,1
2020-03-01,104,39,14,43,31,17,3,1,0,0,0,0,0
2020-03-02,194,60,18,341,52,84,4,0,7,17,172,1431,4
2020-03-03,173,52,17,281,53,82,8,2,4,9,754,810,3
2020-03-04,184,52,13,209,55,60,5,1,4,6,307,265,8
2020-03-05,240,86,23,277,66,68,14,0,6,20,560,284,3
2020-03-06,218,75,22,775,57,54,5,1,3,7,68,11,21
2020-03-07,108,39,12,67,31,8,1,0,0,0,0,0,1
2020-03-08,88,32,11,59,21,14,1,0,0,0,0,0,3
2020-03-09,180,58,17,212,46,70,11,1,14,58,6012,456,8
2020-03-10,344,102,26,417,101,58,7,1,2,7,165,41,8
2020-03-11,356,79,29,485,120,77,4,1,2,5,73,24,3
2020-03-12,257,67,15,360,74,70,2,1,6,16,457,189,4
2020-03-13,234,59,23,365,64,49,5,0,2,10,291,53,7
2020-03-14,133,45,14,95,23,19,2,0,0,0,0,0,0
2020-03-15,127,44,10,88,36,19,6,0,0,0,0,0,0
2020-03-16,202,48,11,631,64,368,3,2,9,19,16506,15373,7
2020-03-17,231,57,19,312,76,54,4,1,5,5,297,25,0
2020-03-18,253,77,19,276,79,60,4,0,5,370,12681,520,6
2020-03-19,252,82,16,322,76,55,3,2,1,2,8,3,2
2020-03-20,242,66,27,301,62,59,5,1,2,6,149,91,0
2020-03-21,145,52,10,99,30,28,2,1,0,0,0,0,0
2020-03-22,149,53,18,165,33,57,7,1,0,0,0,0,0
2020-03-23,198,59,14,344,70,92,3,1,6,36,1975,834,6
2020-03-24,199,58,15,264,63,43,2,1,4,19,983,67,0
2020-03-25,260,74,12,372,99,72,5,0,2,2,127,42,5
2020-03-26,251,65,18,355,86,71,6,1,5,16,1123,636,0
2020-03-27,241,70,13,379,79,105,7,1,7,22,417,207,7
2020-03-28,158,56,22,140,47,24,4,0,2,45,1398,34,0
2020-03-29,149,65,15,117,32,24,0,1,2,5,59,28,0
2020-03-30,231,68,18,402,95,89,7,3,4,28,1532,663,4
2020-03-31,235,59,33,522,274,116,5,4,1,1,12,32,3
2020-04-01,254,81,23,679,137,161,5,1,0,0,0,0,1
2020-04-02,263,63,27,496,92,84,7,1,1,1,10,4,0
2020-04-03,217,51,27,391,77,78,10,0,7,11,156,42,4
2020-04-04,125,52,17,45,27,8,4,1,0,0,0,0,0
2020-04-05,155,52,24,141,33,50,8,0,1,2,26,0,2
