datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-01-01,45,34,9,5,2,1,3,1,2,2,40,46,0
2020-01-02,94,72,23,5,3,1,0,0,0,0,0,0,0
2020-01-03,110,79,32,12,6,7,1,0,1,1,7,2,0
2020-01-04,58,50,7,4,2,1,0,0,0,0,0,0,0
2020-01-05,55,43,13,5,0,1,2,0,0,0,0,0,0
2020-01-06,100,82,15,9,3,2,0,1,2,2,37,81,1
2020-01-07,96,75,19,6,1,2,1,0,0,0,0,0,0
2020-01-08,111,81,28,12,2,2,0,0,0,0,0,0,0
2020-01-09,116,98,14,17,4,4,3,0,0,0,0,0,0
2020-01-10,111,85,27,5,1,0,0,1,0,0,0,0,0
2020-01-11,58,50,15,2,0,1,1,1,0,0,0,0,0
2020-01-12,41,37,12,3,0,0,0,0,0,0,0,0,0
2020-01-13,94,68,23,8,1,0,1,1,0,0,0,0,0
2020-01-14,98,73,21,15,1,2,0,0,0,0,0,0,0
2020-01-15,108,78,21,14,3,2,0,0,0,0,0,0,0
2020-01-16,109,93,21,11,3,2,0,0,0,0,0,0,0
2020-01-17,89,54,23,32,7,6,1,0,0,0,0,0,0
2020-01-18,68,44,19,12,3,3,5,2,0,0,0,0,0
2020-01-19,72,53,16,8,3,2,0,0,0,0,0,0,0
2020-01-20,78,66,17,4,2,1,0,0,0,0,0,0,0
2020-01-21,72,55,10,12,8,8,0,0,0,0,0,0,0
2020-01-22,78,70,13,9,1,1,0,0,0,0,0,0,0
2020-01-23,65,54,9,5,1,1,0,0,0,0,0,0,0
2020-01-24,42,33,5,8,0,1,0,0,0,0,0,0,0
2020-01-25,37,30,7,0,1,0,2,0,0,0,0,0,0
2020-01-26,45,38,7,2,0,1,1,1,1,1,1,1,0
2020-01-27,75,57,6,18,3,3,1,0,0,0,0,0,0
2020-01-28,64,47,9,17,3,2,1,1,0,0,0,0,4
2020-01-29,64,49,8,10,3,3,0,0,0,0,0,0,0
2020-01-30,59,48,12,4,1,0,0,0,0,0,0,0,0
2020-01-31,65,54,11,2,0,1,0,0,0,0,0,0,0
2020-02-01,54,40,13,3,1,1,0,0,0,0,0,0,0
2020-02-02,61,46,10,5,2,2,2,0,0,0,0,0,1
2020-02-03,69,45,17,11,7,6,1,0,0,0,0,0,1
2020-02-04,77,60,15,6,1,2,1,0,0,0,0,0,0
2020-02-05,94,78,21,3,2,1,5,0,2,2,20,0,0
2020-02-06,81,69,16,6,0,1,1,0,1,1,1,1,0
2020-02-07,76,55,15,12,6,5,0,0,0,0,0,0,0
2020-02-08,56,44,10,6,1,1,2,1,0,0,0,0,0
2020-02-09,56,46,12,4,1,1,0,0,0,0,0,0,0
2020-02-10,83,60,18,6,3,3,0,0,0,0,0,0,0
2020-02-11,83,68,17,2,0,0,1,1,4,4,40,38,3
2020-02-12,90,74,15,6,3,3,1,1,0,0,0,0,0
2020-02-13,89,72,15,12,1,1,1,1,0,0,0,0,0
2020-02-14,73,48,16,24,3,1,2,1,0,0,0,0,0
2020-02-15,58,50,8,2,0,0,1,0,0,0,0,0,2
2020-02-16,66,52,15,1,0,0,0,0,0,0,0,0,6
2020-02-17,96,67,16,14,8,6,1,0,0,0,0,0,0
2020-02-18,91,68,15,10,5,3,1,0,0,0,0,0,0
2020-02-19,104,72,28,15,1,3,2,0,0,0,0,0,1
2020-02-20,106,83,17,15,4,3,0,1,0,0,0,0,0
2020-02-21,81,67,16,3,3,0,0,0,0,0,0,0,0
2020-02-22,64,52,14,6,1,4,0,0,0,0,0,0,0
2020-02-23,67,56,11,6,0,1,1,0,0,0,0,0,0
2020-02-24,108,91,16,8,0,1,1,0,0,0,0,0,0
2020-02-25,245,218,24,13,3,3,2,1,0,0,0,0,0
2020-02-26,220,195,28,12,6,6,0,0,0,0,0,0,0
2020-02-27,169,147,20,17,4,4,3,1,1,1,24,10,4
2020-02-28,174,146,30,9,2,3,3,2,0,0,0,0,0
2020-02-29,138,127,19,4,2,1,0,0,0,0,0,0,0
2020-03-01,141,130,21,4,2,2,2,1,0,0,0,0,0
2020-03-02,148,123,24,6,3,1,0,0,0,0,0,0,0
2020-03-03,148,127,32,18,2,3,1,0,0,0,0,0,0
2020-03-04,133,110,26,5,0,0,3,3,0,0,0,0,1
2020-03-05,130,112,17,11,4,4,3,0,0,0,0,0,2
2020-03-06,152,127,22,17,3,3,0,0,1,2,3,3,0
2020-03-07,93,74,23,1,0,0,0,0,0,0,0,0,0
2020-03-08,88,74,18,4,1,1,2,0,0,0,0,0,0
2020-03-09,121,89,24,11,4,4,3,1,3,3,57,86,0
2020-03-10,123,111,22,3,1,1,1,1,0,0,0,0,0
